,country_name,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y,average_x,average_y
10,Mexico,0.22,1.0,48.398399,,54.01666666666667,0.42633230984211,18.71025,81.47476,1.5250000000000001,,0.2794804950771546,7.9196889999999955,,,,63.16177499999999,3.8,1.0,15.9,1.0,0.1,1.0,,,,,,1.0,1.0,1.0,93.53007875,94.49396250000001,78.03091285714285,32.67819,4.1000000000000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.399875015020371,47.65,97.76,73.1,22.25,97.63333333333333,41.233333333333334,,2.4896749999999996,2.2296714285714283,,42.23351968582874,88.51033690158285,87.75826074992533,2.1,6.4,23.200000000000003,1.0,1.1,2.4019124449328118,3.4857142857142853,37.469691999896476,20.863375,,23.0,20.133333333333336,6.2,12.4,15.05,7.7125,10.600000000000001,11.625,1.0,1.0,0.09009625751911346,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2263750000000004,1.0,3.6333333333333333,3.8333333333333335,9.0,1.2,0.3666666666666667
11,Sierra Leone,0.55,1.0,7.0107589,72.7,28.41666666666667,22.1598148345947,35.485,41.086065000000005,,0.13,402.8384782794908,14.7626124,,79.85,1.0,119.87235,12.5,1.0,52.575,1.0,1.2125000000000001,1.0,,1.0,4.5,13.05,14.45,1.0,1.0,1.0,29.854354999999998,37.81625,35.458682499999995,,17.642857142857142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.69149997830391,39.25,96.23333333333333,72.75,39.3,70.65,1.0,,0.5024666666666667,0.0251,21.8,8.80508617290523,14.591279517641487,15.875161935437815,1.6,9.000000000000002,28.583333333333336,1.0,81.3,19.08934378707716,65.94285714285714,49.53628523403309,59.36175,25.1,77.35,47.03333333333333,13.65,107.05,119.4,36.325,77.35,90.3125,88.55000000000001,1.0,5.5055125201523545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.636,1.0,15.899999999999999,4.9,33.55,7.25,2.65
12,Armenia,1.0,1.0,24.459978,97.4,44.68333333333334,4.2254357288281135,14.785124999999999,40.2,3.25,86.42,1.0,8.293883039999997,,99.4,,23.164075000000004,1.0,1.0,29.825,,0.1,1.0,,82.1,1.7,33.2,3.6,1.0,1.0,1.0,99.68375499999999,99.74024,88.05112,54.38695125,3.4285714285714284,1.0,1.0,1.0,1.0,1.0,1.0,,18.355499982833848,1.0,99.6,93.9,44.5,20.76,1.0,,5.334033333333333,3.146166666666667,24.6,75.90881786090776,92.58795156354022,90.55128006646076,1.6,1.6333333333333335,53.983333333333334,1.0,0.2,0.43436527760379645,3.071428571428571,46.75664438712247,36.840624999999996,,24.98333333333333,33.050000000000004,12.5,6.85,14.8,7.775,10.55,11.9875,13.2,1.0,0.053217472351063784,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.737,1.0,2.6,13.7,9.4,4.4,1.7
13,Dominican Republic,1.7333333333333332,1.0,40.70224,84.3,53.11666666666667,,20.393750000000004,42.477925,1.6333333333333333,,0.16616016030487268,11.38685359999998,,,,95.946825,11.25,1.0,49.4125,1.0,0.35,1.0,1.0,86.9,1.0,39.9,20.5,1.0,1.0,1.0,91.65553833333334,91.44219,71.46996874999999,66.940376,8.814285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.467749834060667,94.15,50.15,37.2,5.65,98.66,1.0,,1.3513428571428572,1.5434,10.75,,82.82804480228477,54.75809788465288,2.2,9.283333333333333,19.400000000000006,1.0,2.2,3.1933634581154915,9.32857142857143,38.87940643100934,21.949875,46.9,23.200000000000003,32.449999999999996,11.100000000000001,14.65,32.85,18.875,22.6,23.05,27.4,1.0,0.2517957750023401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.41375,1.0,1.0,7.6,7.1,2.4,0.8
14,North Macedonia,,1.0,,,50.35,,11.1,22.3,4.433333333333334,62.92,,8.874707579999997,,,,16.867825,0.9,1.0,11.075,,0.1,1.0,,,,,,1.0,1.0,1.0,96.7,97.8,,44.412226000000004,4.0285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,,26.029875040054325,93.9,98.6,,1.0,98.45833333333334,4.300000000000001,,4.0844,2.792325,25.5,84.9058798257896,97.29186627130314,,2.8,,,1.0,0.1,0.6616097945056542,9.542857142857143,39.31554987056997,42.5785,,23.666666666666664,22.8,17.2,10.35,11.8,6.95,9.1,9.7625,10.399999999999999,1.0,0.012062052951477286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4969999999999999,1.0,1.3,12.4,4.9,1.8,0.2
15,Tanzania,2.225,1.0,8.67521,34.2,28.066666666666663,1.22717516496777,38.149875,52.9,,0.46,121.622590363021,10.653807800000001,,58.75,1.0,120.84737499999999,5.25,1.0,52.2875,1.0,2.4375,1.0,1.0,63.4,4.5,24.4,25.73333333333333,1.0,1.0,1.0,73.220505,77.99391,25.499656666666667,2.7310333333333334,31.985714285714288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1681250035762787,56.45,62.96666666666667,55.4,21.05,62.45,1.0,,0.48593333333333333,0.03526666666666667,21.4,,25.354843993546773,47.54891010152572,2.9,3.55,28.233333333333334,1.0,38.4,11.495649372257216,70.65714285714286,48.39396151884726,68.72875,1.0,47.983333333333334,33.18333333333333,22.1,52.2,59.75,22.924999999999997,36.45,25.724999999999994,42.900000000000006,1.0,3.103849277347847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.118124999999999,1.0,13.78,4.175,27.880000000000003,4.48,1.14
16,"Gambia, The",,1.0,8.3229542,75.6,37.150000000000006,0.0282854773104191,39.768249999999995,23.8,1.1,1.425,167.71117731766043,17.01435159999998,,69.1,1.0,84.543025,9.3,1.0,52.6375,1.0,0.5249999999999999,1.0,1.0,26.5,4.9,22.3,17.5,1.0,1.0,1.0,37.576184999999995,46.36401,,2.2803449999999996,9.857142857142856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.527749896049512,77.6,86.2,1.0,46.8,57.2,1.0,,1.3986,0.1021,21.5,,40.45388161450556,7.671393874653727,1.1,0.8833333333333333,21.633333333333333,1.0,29.7,1.4845192615612985,54.58571428571429,43.71441733420205,41.1435,27.1,63.43333333333334,51.86666666666667,25.7,56.7,66.0,28.425,19.3,32.825,44.4,1.0,3.44602549080096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.401875,1.0,14.9,2.266666666666667,19.766666666666666,3.8333333333333335,2.4000000000000004
17,Afghanistan,0.39999999999999997,1.0,15.5,39.9,24.4,2.01351195573807,35.413000000000004,42.2,0.48,0.03,18.600373978258272,,,55.7,1.0,85.207375,8.8,1.0,18.574999999999996,1.0,0.1,1.0,1.0,47.9,4.4,1.7,12.1,1.0,1.0,1.0,23.708635,37.38042,34.08949166666666,3.4064466666666666,23.02857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.440375089645388,18.366666666666667,55.225,61.0,50.313137,43.55,1.0,,0.17014,0.27321666666666666,21.2,,39.40247517958108,37.712603778500785,1.0,,,1.0,13.9,15.073927485746042,,18.424749094547277,75.2955,1.35,45.16666666666667,37.583333333333336,24.5,62.7,69.75,35.724999999999994,47.05,54.4375,53.8,1.0,4.186045891632621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0920000000000005,1.0,21.85,4.699999999999999,39.3,7.3,1.3
18,"Congo, Rep.",1.0333333333333332,1.0,5.6,63.8,30.233333333333334,0.659376755356789,34.790375,35.120835,,0.22,230.9614610085821,11.766588399999959,,90.44999999999999,1.0,115.18157500000001,6.5,1.0,58.45,1.0,1.7875,1.0,1.0,70.9,4.8,1.0,32.9,1.0,1.0,1.0,73.74790999999999,79.80496500000001,,8.070395,38.871428571428574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.89649999141695,39.95,93.05,40.2,26.549999999999997,93.45,1.0,,0.9458500000000001,0.1645,21.3,43.533683473275275,18.366216472719312,47.79672567282832,2.8,1.7,33.13333333333333,1.0,38.7,8.72233150352408,47.92857142857143,49.01063432985027,34.686,15.2,53.95,48.650000000000006,18.049999999999997,48.05,27.6,16.375,33.65,34.662499999999994,41.2,1.0,2.049387167277856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.599625,1.0,12.05,4.7,22.799999999999997,4.6,2.15
19,Kenya,1.3285714285714285,1.0,21.8,52.9,32.33333333333333,1.48078436031938,31.27425,75.8562175,,2.035,73.788569899914,11.621754399999961,,94.6,1.0,80.759725,4.4,1.0,54.4875,1.0,2.325,1.0,1.0,76.8,1.0,34.150000000000006,18.65,1.0,1.0,1.0,76.097625,80.134005,,8.938130000000001,21.14285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9723750352859497,60.05,94.6,65.7,61.4,61.8,1.0,,1.0906375,0.18008,,,29.808878878581,19.941411871822957,0.9,1.3833333333333333,21.683333333333334,1.0,51.2,11.552661102842885,42.785714285714285,48.449554658412524,74.535625,56.3,43.516666666666666,33.16666666666667,15.973103196690774,39.8,47.400000000000006,16.0,28.65,34.099999999999994,35.150000000000006,1.0,1.52032739724799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.842625,1.0,11.2,4.1,26.2,4.2,1.0
20,Togo,1.3333333333333333,1.0,12.092172,70.8,28.283333333333335,,34.824124999999995,32.3,0.7,0.51,333.48181895674725,16.262541599999963,,1.0,1.0,90.38867499999999,5.5,1.0,62.375,1.0,1.05,1.0,1.0,37.1,4.1,27.5,17.55,1.0,1.0,1.0,49.609584999999996,62.077780000000004,33.45215,7.117186666666667,17.84285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6633750051260001,57.2,62.150000000000006,48.5,57.2,44.6,1.0,,0.36225,0.04235,22.3,,14.894886977767785,10.213007393619858,0.9,1.0666666666666667,12.233333333333334,1.0,41.6,49.759602506878885,64.48571428571428,49.5913111943915,60.14875,20.3,48.133333333333326,61.63333333333333,17.3,67.25,79.0,26.5125,44.05,46.025,54.45,1.0,1.911577819629676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.554375,1.0,15.933333333333334,1.4000000000000001,25.866666666666667,4.366666666666667,1.1
21,United Kingdom,0.1,1.0,,,57.65,0.48044491559267,9.350000000000001,,2.833333333333333,112.845,,6.940275579999998,,,,16.00535,,1.0,29.4,,,1.0,,,,,,1.0,1.0,3.075,,,95.26346,66.60246285714287,2.5,,1.0,,1.0,1.0,1.0,,5.693250000476839,,,,,,,,8.310737499999998,2.7275125000000005,1.0,99.98615764706118,99.11371980037558,,4.8,18.883333333333333,26.566666666666666,1.0,0.2,1.0,1.0,46.435370643915796,17.509125,,10.499999999999998,17.583333333333332,,2.4,4.800000000000001,2.5,3.3499999999999996,3.5,2.6,1.0,0.014318308210571085,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.81,1.0,,,,,
22,El Salvador,0.3142857142857143,1.0,64.51709,,51.050000000000004,0.3044014563784,18.818875,81.54383,1.125,,0.2548084869536881,10.358798400000001,,,1.0,71.60585,5.8,1.0,26.837500000000002,1.0,0.1875,1.0,1.0,,,,,1.0,1.0,1.0,85.68954833333333,87.64408333333334,64.87330625000001,29.51773375,9.557142857142859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.534249991178514,90.1,1.0,79.7,46.7,82.96666666666667,35.86666666666667,,1.7946666666666666,1.5662,,,86.7597809521634,90.45036696203799,1.1,2.666666666666667,19.96666666666667,1.0,1.0,2.4926563338660315,7.914285714285715,42.0435273484427,30.759875,,28.71666666666667,22.566666666666666,11.1,12.95,8.95,7.699999999999999,11.15,11.825000000000001,7.75,1.0,0.11519413177227243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1211249999999997,1.0,1.0,6.4,13.6,2.1,0.4
23,"Yemen, Rep.",,1.0,15.429192,19.9,43.15,4.15904968976974,32.381499999999996,46.9,0.7,0.82,37.85486516856717,,,48.6,1.0,64.08649999999999,9.4,1.0,24.712500000000006,1.0,0.1,1.0,1.0,53.8,3.1,7.8,10.7,1.0,1.0,1.0,,,36.60436,6.16967,31.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.43587470054627,25.1,59.8,1.0,9.7,39.55,1.0,,0.7949833333333334,0.5251,1.0,,57.042130975836784,48.917157616457985,1.0,7.1000000000000005,29.53333333333333,1.0,10.2,20.880976935462588,38.785714285714285,8.878187352458411,65.51562499999999,,83.63333333333334,51.96666666666667,28.7,51.150000000000006,30.05,10.7125,20.05,37.6625,23.95,1.0,0.7714609552352245,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.164000000000001,1.0,37.7,2.0,46.5,14.85,4.4
24,Colombia,1.5,1.0,,,60.06666666666667,2.22923827171326,15.639624999999999,86.348545,1.4749999999999999,19.46,7.8535964006811625,10.014031239999978,,,,70.059025,4.9,1.0,18.4375,1.0,0.1,1.0,1.0,92.1,1.6,36.4,17.4,1.0,1.0,1.0,94.55535,94.351638,79.24783375,54.80420375,7.671428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.724624991416924,89.9,97.35,,36.1,97.81666666666666,71.22,,1.1321875000000001,1.9289999999999998,,72.55547658064461,86.49633420130014,65.19107468879237,1.8,4.033333333333334,12.6,1.0,0.8,3.9617734236087445,13.5,43.02043851175214,20.424,1.0,18.616666666666667,27.816666666666666,6.7,13.25,16.549999999999997,7.8500000000000005,11.350000000000001,13.7375,7.3,1.0,0.16734686900493229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8767500000000001,1.0,3.7,5.7,12.7,1.6,0.4
25,Faroe Islands,,,,,,,10.075000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,90.8834757181354,,,,,,,1.0,,,58.42875,,,,,,,,,,,,,,,,,,,,,2.5,1.0,,,,,
26,New Zealand,,1.0,,,59.55,,11.385,,2.55,26.063333333333333,,5.8163647599999955,,,,21.195625,,1.0,17.812499999999996,,0.1,1.0,,,,,,1.0,1.0,7.3875,,,96.471166,94.80384000000001,2.5,1.0,1.0,,1.0,1.0,1.0,,6.083874940872192,,,,,96.53333333333333,,,11.7537375,3.3223125,,82.28181836142082,43.42857162758883,,4.6,13.916666666666664,18.666666666666664,1.0,0.1,1.0,,47.231235491363634,13.6865,,8.033333333333335,16.25,,5.199999999999999,6.449999999999999,3.5125,4.300000000000001,2.9125000000000005,5.300000000000001,1.0,0.0185812620255116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9375,1.0,,,,,
27,Benin,0.34,1.0,14.6332995,33.25,35.483333333333334,5.38009740412235,37.610875,22.509846666666665,,1.86,395.1893076378385,17.07079459999996,,51.66666666666667,1.0,91.2809,6.966666666666667,1.0,52.637499999999996,1.0,0.45,1.0,1.0,30.4,2.95,22.9,18.3,1.0,1.0,1.0,26.582765000000002,37.655609999999996,37.712360000000004,7.536817142857143,10.271428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7831249833106986,56.333333333333336,83.16666666666667,23.46666666666667,38.43333333333334,78.73333333333333,1.0,,0.5670600000000001,0.10688,21.3,,15.431555776583771,9.471975389193378,0.8,0.7666666666666666,12.833333333333334,1.0,59.7,55.87453391024149,44.25714285714286,49.10592260275883,54.556875,21.6,54.599999999999994,58.0,32.666666666666664,90.1,49.9,28.724999999999998,56.45,56.8,68.19999999999999,1.0,2.292569585328037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.077,1.0,8.9,1.7999999999999998,16.6,2.75,1.0
28,France,,1.0,,,51.31666666666667,,10.712500000000002,,6.533333333333333,58.803333333333335,,7.443678299999992,,,,5.7036500000000006,,1.0,25.1625,1.0,0.1,1.0,,,,,,1.0,1.0,5.8,,,94.25790285714285,67.94630571428571,2.5,1.0,1.0,,1.0,1.0,1.0,,9.557249903678894,,,,,97.5,,,10.419075,3.216025,13.3,97.63933051639424,98.65237475530218,,5.4,15.566666666666666,36.11666666666667,1.0,0.3,1.0,1.0,47.65708693945713,20.471875,,11.533333333333331,20.549999999999997,,3.6500000000000004,4.45,2.3874999999999997,2.05,3.4375,3.7,1.0,0.015880019588384284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8337499999999998,1.0,,,,,
